Name,url
Kylian Mbappé,/player/231747/kylian-mbapp%C3%A9/
Dele Alli,/player/211117/dele-alli/
Cristiano Ronaldo,/player/20801/cristiano-ronaldo/
Ousmane Dembélé,/player/231443/ousmane-demb%C3%A9l%C3%A9/
Lionel Messi,/player/158023/lionel-messi/
Neymar,/player/190871/neymar/
Marcus Rashford,/player/231677/marcus-rashford/
Benjamin Pavard,/player/226851/benjamin-pavard/
Harry Kane,/player/202126/harry-kane/
Paulo Dybala,/player/211110/paulo-dybala/
Leroy Sané,/player/222492/leroy-san%C3%A9/
Marco Asensio,/player/220834/marco-asensio/
Gabriel Jesus,/player/230666/gabriel-jesus/
Ezequiel Barco,/player/236007/ezequiel-barco/
Paulinho,/player/187961/paulinho/
Antoine Griezmann,/player/194765/antoine-griezmann/
Zlatan Ibrahimović,/player/41236/zlatan-ibrahimovi%C4%87/
Anthony Martial,/player/211300/anthony-martial/
Leon Goretzka,/player/209658/leon-goretzka/
Paul Pogba,/player/195864/paul-pogba/
Eden Hazard,/player/183277/eden-hazard/
N'Golo Kanté,/player/215914/ngolo-kant%C3%A9/
Christian Pulisic,/player/227796/christian-pulisic/
Kaká,/player/138449/kak%C3%A1/
Kingsley Coman,/player/213345/kingsley-coman/
Thomas Lemar,/player/213565/thomas-lemar/
Isco,/player/197781/isco/
Marco Verratti,/player/199556/marco-verratti/
Romelu Lukaku,/player/192505/romelu-lukaku/
Morata,/player/201153/morata/
Kevin De Bruyne,/player/192985/kevin-de-bruyne/
Christian Eriksen,/player/190460/christian-eriksen/
Bernardo Silva,/player/218667/bernardo-silva/
Gianluigi Donnarumma,/player/230621/gianluigi-donnarumma/
Angel Gomes,/player/240507/angel-gomes/
Luis Suárez,/player/176580/luis-su%C3%A1rez/
Toni Kroos,/player/182521/toni-kroos/
Timo Werner,/player/212188/timo-werner/
Coutinho,/player/189242/coutinho/
Raheem Sterling,/player/202652/raheem-sterling/
Joshua Kimmich,/player/212622/joshua-kimmich/
Robert Lewandowski,/player/188545/robert-lewandowski/
Alexandre Lacazette,/player/193301/alexandre-lacazette/
Keita Baldé Diao,/player/215785/keita-bald%C3%A9-diao/
Kasper Dolberg,/player/228687/kasper-dolberg/
Julian Draxler,/player/202166/julian-draxler/
Mohamed Salah,/player/209331/mohamed-salah/
Andrea Belotti,/player/208596/andrea-belotti/
André Silva,/player/228941/andr%C3%A9-silva/
Harry Winks,/player/222400/harry-winks/
Achraf Hakimi,/player/235212/achraf-hakimi/
Dayot Upamecano,/player/229558/dayot-upamecano/
Lorenzo Insigne,/player/198219/lorenzo-insigne/
Emre Mor,/player/231240/emre-mor/
Thiago,/player/189509/thiago/
Tiémoué Bakayoko,/player/219809/ti%C3%A9mou%C3%A9-bakayoko/
Adrien Rabiot,/player/210008/adrien-rabiot/
Alexis Sánchez,/player/184941/alexis-s%C3%A1nchez/
Gareth Bale,/player/173731/gareth-bale/
Davinson Sánchez,/player/220793/davinson-s%C3%A1nchez/
Moussa Dembélé,/player/211591/moussa-demb%C3%A9l%C3%A9/
Martin Ødegaard,/player/222665/martin-%C3%B8degaard/
Raphaël Varane,/player/201535/rapha%C3%ABl-varane/
Fabinho,/player/209499/fabinho/
Wayne Rooney,/player/54050/wayne-rooney/
Gonzalo Higuaín,/player/167664/gonzalo-higua%C3%ADn/
Sergio Agüero,/player/153079/sergio-ag%C3%BCero/
David Alaba,/player/197445/david-alaba/
Mauro Icardi,/player/201399/mauro-icardi/
Corentin Tolisso,/player/219683/corentin-tolisso/
James Rodríguez,/player/198710/james-rodr%C3%ADguez/
Héctor Bellerín,/player/203747/h%C3%A9ctor-beller%C3%ADn/
Pierre-Emerick Aubameyang,/player/188567/pierre-emerick-aubameyang/
Mesut Özil,/player/176635/mesut-%C3%B6zil/
Iniesta,/player/41/iniesta/
Karim Benzema,/player/165153/karim-benzema/
Casemiro,/player/200145/casemiro/
Mario Balotelli,/player/186627/mario-balotelli/
Youri Tielemans,/player/216393/youri-tielemans/
Sead Kolašinac,/player/207993/sead-kola%C5%A1inac/
Stephan El Shaarawy,/player/190813/stephan-el-shaarawy/
Jadon Sancho,/player/233049/jadon-sancho/
